"Totalunits" , 150
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 "World" , 0
 "Type" , 9
 "Position.X" , 1000
 "Position.Y" , -2000
 "Position.Z" , 200
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 "World" , 1
 "Type" , 8
 "Position.X" , 0
 "Position.Y" , -50
 "Position.Z" , -1000
 "Health" , 15
 "Player" , "you"
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 "World" , 2
 "Type" , 4
 "Position.X" , 400
 "Position.Y" , -100
 "Position.Z" , 0
 "Scale.X" , 2
 "Scale.Y" , 2
 "Scale.Z" , 2
 "Health" , 40
 "Alert" , 1
 "Target" , 1
 "Player" , "Big Lance"
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 "World" , 3
 "Type" , 4
 "Position.X" , 0
 "Position.Y" , -50
 "Position.Z" , 0
 "Health" , 12
 "Alert" , 1
 "Target" , 1
 "Player" , "the body gaurd"
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
